id,title,original_title,type,description,primary_image,content_rating,start_year,end_year,release_date,is_adult,runtime_minutes,average_rating,num_votes,company_id,company_name,genre
tt11846550,Kayara,Kayara,movie,A young Inca girl dreams of joining the all-male Chasqui messenger group. She challenges traditions and gender norms to pursue her ambition against all odds.,https://m.media-amazon.com/images/M/MV5BY2YxNzg4ZmEtNTdjNy00MTQ0LTgyYTQtNDY4NTQ2YjUwNmQ2XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-03-30,false,90,6.4,74,co0512945,B-Water Studios,Action
tt4900148,Elio,Elio,movie,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",https://m.media-amazon.com/images/M/MV5BNjRiYzIxMjItNWUxNi00NDc5LWJjMzEtZmRkY2EwOTJhZjkyXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-06-20,false,0,0.0,0,co0008970,Walt Disney Pictures,Adventure
tt14830912,The Lost Princess,The Lost Princess,movie,A Billionaire discovers his true destiny after stumbling upon a haunted castle and fights to protect the castle's legacy.,https://m.media-amazon.com/images/M/MV5BNDk1Mjg5MjMtOTIzOS00YWNmLTllYmUtNTEyZWVhMTgyMGQ3XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-05-15,false,91,0.0,0,co0284556,H Films,Action
tt12908150,The Life of Chuck,The Life of Chuck,movie,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz.",https://m.media-amazon.com/images/M/MV5BZjc5Mjk3NzEtMDk5MC00MjUyLThjNDgtNDIzOGM3OTg3N2ZkXkEyXkFqcGc@._V1_.jpg,,2024,0,2025-05-30,false,110,7.7,459,co0059753,Intrepid Pictures,Drama
tt27543578,Good Fortune,Good Fortune,movie,A well-meaning but rather inept angel named Gabriel meddles in the lives of a struggling gig worker and a wealthy venture capitalist.,,,2025,0,2025-10-17,false,0,0.0,0,co0006881,Lionsgate,Action
tt31193180,Sinners,Sinners,movie,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",https://m.media-amazon.com/images/M/MV5BNjIwZWY4ZDEtMmIxZS00NDA4LTg4ZGMtMzUwZTYyNzgxMzk5XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-04-18,false,0,0.0,0,co0002663,Warner Bros.,Drama
tt29644189,The Black Phone 2,Black Phone 2,movie,,https://m.media-amazon.com/images/M/MV5BMDM5ZmZjMGMtMjgwYy00NDRjLWIxM2EtZjYxZDk2YWI4M2JhXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-10-17,false,0,0.0,0,co0098315,Blumhouse Productions,Horror
tt2321555,The Cat in the Hat,The Cat in the Hat,movie,A clever cat brings chaos and mischief to a pair of siblings struggling with their move to a new town.,https://m.media-amazon.com/images/M/MV5BMzY4MjI2ZWUtMDA0Mi00ZWExLTgyZTQtYjY2NGJhNjJiNmFhXkEyXkFqcGc@._V1_.jpg,,2026,0,2026-03-06,false,0,0.0,0,co0468593,Warner Bros. Pictures Animation,Adventure
tt9150192,A Working Man,A Working Man,movie,"Levon Cade left his profession behind to work construction and be a good dad to his daughter. But when a local girl vanishes, he's asked to return to the skills that made him a mythic figure in the shadowy world of counter-terrorism.",https://m.media-amazon.com/images/M/MV5BYmQxZGIxNTYtYTQwMy00ODdkLWI0MmQtM2E0ZmIyNmYzMGMzXkEyXkFqcGc@._V1_.jpg,R,2025,0,2025-03-28,false,116,0.0,0,co1031934,Black Bear,Action
tt22375408,Electra,Electra,movie,A journalist and his female companion travel to interview a famous musician in Rome where a generous invite to a country estate becomes something much more than anyone expected.,https://m.media-amazon.com/images/M/MV5BNjM5NTY5NjgtYzJhYi00NjNkLWExZDItMzgyYzIzYzhjNmEwXkEyXkFqcGc@._V1_.jpg,,2024,0,2024-02-09,false,85,7.3,24,co0548151,Ring Film,Thriller
tt13491834,Sacramento,Sacramento,movie,"An energetic and free-spirited young man convinces his long-time friend, who's settled into domestic life, to go on an impromptu road trip from Los Angeles to Sacramento.",https://m.media-amazon.com/images/M/MV5BMGIzYWM0YmUtZjFkZS00N2MwLWEyMDUtZGU5NTgwOTFiZGJhXkEyXkFqcGc@._V1_.jpg,R,2024,0,2025-04-11,false,84,7.0,133,co0574133,Bee-Hive Productions,Comedy
tt28784201,Another in the Fire,Another in the Fire,movie,"On May 22nd 1980 at midnight, that was the night I died. Based on a true story",https://m.media-amazon.com/images/M/MV5BNDViN2RmZTQtYzI5NS00Y2I2LTkwZmMtYjEyYjJjMDZiYTFjXkEyXkFqcGc@._V1_.jpg,Approved,2025,0,2025-09-01,false,99,0.0,0,co1017714,Mike Walter Entertainment,Action
tt23572848,The SpongeBob Movie: Search for Squarepants,The SpongeBob Movie: Search for SquarePants,movie,"SpongeBob and his friends Patrick, Squidward, Sandy, and Mr. Krabs journey to the ocean's depths to face the Flying Dutchman's ghost, encountering challenges and uncovering marine mysteries.",https://m.media-amazon.com/images/M/MV5BMzliZGExYWYtZTEwMi00ZGQ1LWE1NWYtN2I4YTc5ODJlMTk0XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-12-19,false,0,0.0,0,co0044395,Nickelodeon Animation Studios,Adventure
tt30835291,Swamp Dogg Gets His Pool Painted,Swamp Dogg Gets His Pool Painted,movie,"Cult musician Swamp Dogg and housemates Moogstar and Guitar Shorty have turned their suburban LA home into an artistic haven. They journey through the turbulent music business, forming a special friendship transcending eras.",https://m.media-amazon.com/images/M/MV5BZDUyNDJhNGYtNDBjZS00Y2RjLWEwOTAtYTlhZGQ2OGVmYzE4XkEyXkFqcGc@._V1_.jpg,,2024,0,2024-03-08,false,95,8.9,39,co1042766,Poorly Painted Pools,Comedy
tt9254940,Sneaks,Sneaks,movie,"When a designer sneaker unwittingly finds himself lost in New York City, he must dig deep into his sole in order to rescue his sister and return to his rightful owner.",https://m.media-amazon.com/images/M/MV5BYjg4Y2Q1NDEtMjcxMi00ZWViLTlmNzMtZTJhNDY5ZGJlYzFhXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-04-18,false,92,0.0,0,co0762814,Ashland Hill Media Finance,Adventure
tt32085997,Misericordia,Miséricorde,movie,"Returning to Saint-Martial for his late boss's funeral, Jérémie's stay with widow Martine becomes entangled in a disappearance, a threatening neighbor, and an abbot's shady intentions.",https://m.media-amazon.com/images/M/MV5BYzg3MzQzNGMtYzA0NC00M2M3LWFiMDQtNDY2ZTc5OWI2YTc0XkEyXkFqcGc@._V1_.jpg,,2024,0,2025-03-21,false,104,6.9,1542,co0423337,CG Cinéma,Comedy
tt32214143,Gabby's Dollhouse: The Movie,Gabby's Dollhouse: The Movie,movie,Gabby and Grandma Gigi's road trip takes an unexpected turn when Gabby's prized dollhouse ends up with eccentric cat lady Vera. Gabby embarks on a adventure to reunite the Gabby Cats and retrieve her beloved dollhouse before it's too late.,https://m.media-amazon.com/images/M/MV5BNjNiZDA4MTgtZTUyMC00Mzc0LWIzZGMtN2YyODVhODhkNDQ3XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-09-26,false,85,0.0,0,co0129164,DreamWorks Animation,Adventure
tt31956415,Freakier Friday,Freakier Friday,movie,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and Anna discover that lightning might strike twice.",https://m.media-amazon.com/images/M/MV5BNGM0ZTdhMjctNTY4MS00MGJiLTk0YjMtOGFmMDZmNGYxYzM5XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-08-08,false,0,0.0,0,co0008970,Walt Disney Pictures,Comedy
tt10994444,STZ,STZ,movie,When three scientist launch a bio attack on a bus full of hot girls they create sex crazed zombies wreaking havoc on a small town.,https://m.media-amazon.com/images/M/MV5BZjUzNDhjNWEtOGM1ZS00YzQ3LWI2M2YtZmYyMjRlMjZlYjFhXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-11-21,false,105,0.0,0,co0760520,Angry Troll Studio,Comedy
tt20969586,Thunderbolts*,Thunderbolts*,movie,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",https://m.media-amazon.com/images/M/MV5BZmFkZTQ1NDktZWJjOC00ZTVjLTg0NmMtMmMzZDcxZmExNDE1XkEyXkFqcGc@._V1_.jpg,,2025,0,2025-05-02,false,0,0.0,0,co0051941,Marvel Studios,Action
tt10994300,A Figgly Christmas,A Figgly Christmas,movie,"When Santa Claus crashes in the land of the Woodgies, Figgly has to help Santa and save Christmas.",https://m.media-amazon.com/images/M/MV5BYTQ2ZTI2MzMtYmFjYy00OGRlLWE4YTktMzNiYjFlYmNkZmIxXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-11-20,false,82,0.0,0,co0760520,Angry Troll Studio,Animation
tt35462051,The Loot,The Loot,movie,"Henry and Angel Henderson discover a treasure with a letter promising millions from dealer Mary. Billy attempts to steal it, leading the brothers on a quest to protect their newfound fortune.",https://m.media-amazon.com/images/M/MV5BMGIzNDAyMWUtYWY5NS00MWRkLTkwNDUtMWI0NzQxYTliODZkXkEyXkFqcGc@._V1_.jpg,13+,2025,0,2025-05-16,false,0,0.0,0,co0991428,Jesse Zane Studios,Action
tt26443597,Zootopia 2,Zootopia 2,movie,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers.",https://m.media-amazon.com/images/M/MV5BZGJjNWExZjAtODNjYy00ZWZiLWE5ZTYtN2Y1YTAwNzQ3MWIyXkEyXkFqcGc@._V1_.jpg,,2025,0,2025-11-26,false,0,0.0,0,co0074039,Walt Disney Animation Studios,Action
